OBJECTID,X,Y,Z,Layer,Text,MUTCD,Width,Height,Condition,Orientation
37,1198165.453265197,874309.5754802338,115.5363067,Sign Face,522,M1-4,2.557917654812336,3.107370866338413,,173.68372697832228
38,1197004.735121886,893781.4498716114,151.7754702371362,Sign Face,PUSH BUTTON WAIT FOR WALK SIGNAL,R10-3e,2.370446559886138,0.6866854939609767,,-94.31558054
39,1195513.463408426,895292.7818,222.9502072868747,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.6575955326358478,0.7221966793760658,,27.96140556221342
40,1193345.896282775,862789.6036593516,258.2347097295526,Sign Face,ONE WAY,R6-1,1.576296531185508,2.270543078233799,,34.43997870139934
41,1193333.903939839,862975.1982223399,262.0448938268426,Sign Face,Lake City WY NE,D3-1,4.166368461350601,1.005294954,,125.87375434844701
42,1197201.896,871991.4264348235,99.13734640379775,Sign Face,No Parking Bus Stop,R7-107,0.8353530258685351,1.300530463953813,,-153.454711
43,1177608.914628315,906761.8038314707,-39.73564446,Sign Face,35,R2-1,2.284364953140418,2.924377150734266,,-2.951737506
44,1203306.821870747,887571.9907957346,-31.48981653,Sign Face,DO NOT ENTER,R5-1,2.743960626870394,2.937209919045369,,-22.24638921
45,1203956.585465718,887969.7380713032,-18.99330711,Sign Face,EXCEPT BUSES,R3-1bP,3.188148296078047,2.328339326,,-116.5279485
46,1186980.092802957,897237.7128715911,330.2160759188735,Sign Face,MILE 28,D10-1,0.8761856458336116,2.341607590715091,,-73.24233011
47,1198554.49,892149.7042648203,112.8049989026788,Sign Face,FOREST PARK DRIVE NE,D3-1,3.01729998,0.9256487977256379,,-31.38341754
48,1199264.844815897,880122.8901510508,165.9922978713118,Sign Face,No Parking,R7-1,1.028776164576411,1.076814322446783,,10.727305603460112
49,1193364.985350158,862871.8263408294,261.8617686996861,Sign Face,,R9-3a,2.551922393838565,2.242043197800716,,-93.9855528
50,1220409.513277506,889141.2941884119,-33.08868891,Sign Face,"Park at Bothell Landing
⬇️",D1-1,1.621616405894359,2.019393895169099,,-12.91707604
51,1191739.496,896593.2806307871,260.2913130404555,Sign Face,NE 205 ST,D3-1,2.873583065768083,0.8413217894236248,,165.72099509660197
52,1198727.751,875620.6280390309,131.6319815884037,Sign Face,"1 HOUR
7AM-6PM",R7-107,1.039879951874415,1.670804023742676,,42.92550460242122
53,1196281.083892231,868275.4886003509,92.53098729,Sign Face,"SCHOOL
ZONE",S5-1,1.487456650709113,1.642933823664983,,-110.125728
54,1200914.952,884355.6285,53.17356525679457,Sign Face,"A BETTER WAY
SAVE OUR TREES
SAVE OUR LFP",D1-1,1.966306365728379,1.427119486182928,,-163.1065607
55,1219196.451184508,886374.0981514882,12.46786069174635,Sign Face,96 Ave NE,D3-1,7.109060706098875,1.699387991925081,,35.38672019
56,1199348.824857807,880657.4969766123,164.0226389465732,Sign Face,ROTARY INTERNATIONAL,M1-9,1.549327536672354,2.352819420993328,,-170.8467053
57,1200405.993301004,883240.9353587738,110.3224094003442,Sign Face,"RIGHT LANE
[bus symbol]
ONLY",R3-11b,5.044723668893178,6.317750007808209,,-147.4372948
58,1222687.317449443,888766.3028381235,-38.24159328,Sign Face,"NO
PARKING
ANY
TIME",R7-1,1.503107825269302,1.564518281916778,,-27.26150891
59,1179739.492280496,903416.2909835703,211.1754318199558,Sign Face,MILE 26,D10-1,0.9196498212466638,2.393325467606386,,122.95479765635295
60,1207266.640322895,889302.2102,-4.464580416,Sign Face,"RIGHT LANE
[bus symbol]
ONLY
EXCEPT RIGHT
TURNS",R3-8aP,3.051847138802211,5.250991309086483,,88.88947149278994
61,1198538.971654682,875178.7048,136.1848787492517,Sign Face,"TURNING VEHICLES
STOP for",R10-15,3.107730292578539,2.699037822335959,,-86.26825494
62,1184020.057046121,901454.8997227874,289.8445947355035,Sign Face,SPEED LIMIT 35,W3-5,3.926338220934074,4.050962914,,-33.30733365
63,1198976.040170308,876214.2930685312,125.7256956221663,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.609609636,1.494122951477766,,28.757136707618887
64,1198140.739683247,874459.3468034759,113.4006937275333,Sign Face,"NO PARKING
7-9 AM
TOW AWAY ZONE
EXCEPT SATURDAY AND SUNDAY
2 HOUR
9 AM-6 PM",R7-302P,1.035302058358987,1.540511816,,-162.6140534
65,1179739.396162332,903416.4928317148,216.6676086960239,Sign Face,"Kingston Ferry
HOLDING AREA
750 FT",D1-1,4.130551773409049,5.129468476,,120.90760451066515
66,1199297.959125386,880120.4022925709,175.2326951688531,Sign Face,ONLY,R3-5L,2.539153766880433,3.208137127409379,,2.897717001627144
67,1180636.515,902352.7050509531,225.3398450177911,Sign Face,EAST 104,M1-5,2.055103811224302,3.058188528418541,,140.26423588174384
68,1214567.587032694,887833.9284620681,-16.45496157,Sign Face,SPEED LIMIT 35,R2-1,3.211459376,3.575165486733119,,-59.77376002
69,1202532.242431863,887029.1756792084,-32.57800021,Sign Face,CAUTION,W16-13P,3.127189371089141,0.8839334519455831,,111.1270332197179
70,1187234.575254129,897201.3201,328.6708763084812,Sign Face,30 MPH,W13-1P,1.392317326714595,2.635766875346502,,156.06606233523553
71,1217387.184139526,886915.9998450866,2.776602873206407,Sign Face,"RIGHT LANE
MUST
TURN RIGHT",R3-7R,3.082080400188764,3.288928832511107,,-58.90488132
72,1219181.123541279,887668.5362851348,-15.46110069,Sign Face,NO PARKING ANY TIME,R7-1,1.084765601356824,2.167446608742079,,8.314648915
73,1220171.313243326,889222.1003785084,-32.08391208,Sign Face,522,M1-5,1.985559331476689,2.097991301119328,,85.2084129
74,1193822.097706929,863487.0098243093,285.4134722799066,Sign Face,USE CROSSWALK,R9-3b,1.966718982358774,1.279117811918259,,136.8022307613811
75,1193821.918286356,863486.7999663177,287.0837756882115,Sign Face,USE CROSSWALK,R9-3a,2.323232657512029,2.322616665860017,,133.29706854626482
76,1193806.590643127,863489.9430302825,289.1787261416518,Sign Face,14th Ave NE,D3-1,3.052679411967596,0.9806764075408381,,-142.4212523
77,1194573.552717508,864243.2403056732,285.0407640864455,Sign Face,Lake City Wy NE,D3-1,3.001533331771692,1.014150469452143,,137.78245608242742
78,1178427.857405822,905378.0851396576,71.50877462486454,Sign Face,"SHOULDER
FERRY
TRAFFIC
HOLDING
AREA
NO SHOULDER
DRIVING",R3-52,2.635494274596374,5.455628038048745,,131.86415772394602
79,1191910.009457417,860126.0075342702,135.2250112241509,Sign Face,H-Y,W12-1,0.6954432330528896,2.515086875259877,,-90.40987827
80,1179136.639155496,903883.0680217376,172.0292319514357,Sign Face,NO SHOULDER DRIVING,R4-17,2.389776573479176,1.556939824620883,,-27.54069768
81,1179082.386859761,903897.8974524831,169.4330653216444,Sign Face,TRAVEL INFO,M1-9a,0.6978133342663447,2.538308391670386,,167.48371753476277
82,1199815.110091369,891045.3628289173,58.93949743,Sign Face,"AVOIDING SIGNAL PROHIBITED
ORD 834 $86.00 FINE",R10-20,2.129656791985035,2.182255830268065,,107.93192222482084
83,1192525.556587951,861819.3196285898,214.3516865883274,Sign Face,35,R2-1,2.003761395911376,2.577508927086989,,-124.3842007
84,1213943.381257547,888073.0990393971,-32.16298722,Sign Face,,W1-7,4.196019366184871,2.362566560010116,,26.528855491205647
85,1186153.159402078,897651.2011986175,335.6789417610569,Sign Face,EXIT,E5-1,1.323327532783151,4.060637307564418,,-60.14747546
86,1193764.494091206,863353.1748926686,279.0224403852228,Sign Face,ONLY,R3-5R,1.540081795305014,2.170750670631727,,-174.7430259
87,1194330.040552794,864002.2480388274,289.5079558843378,Sign Face,DO NOT ENTER,R5-1,3.065016062557698,3.544924012124539,,1.8293025133248944
88,1194033.852430236,863611.1031800221,290.8434476878249,Sign Face,STOP FOR,R1-5aP,1.928293032000463,1.549603266268969,,-64.82857413
89,1195584.411429259,895258.8104832855,238.0481931839389,Sign Face,SCENIC BYWAY,M1-8,1.166730428338051,1.459779754678408,,131.63669213095662
90,1195158.460581277,864720.1465963633,257.3730504379673,Sign Face,Lake City Wy NE,D3-1,4.304906352758408,1.057173575287064,,-41.81118328
91,1195812.211478087,865700.5342481374,204.9276260020338,Sign Face,STOP,R1-1,0.6856693032880625,0.6871275413036347,,90.71989581337574
92,1213946.684518452,888069.7834633524,-21.67339566,Sign Face,522 NE BOTHELL WAY,D3-1,12.2804831,2.577566224088272,,22.67993684076346
93,1203069.446850809,887444.7151278065,-33.00614459,Sign Face,WEST,M3-4,2.009085714866718,1.031008303215107,,67.78429843528227
94,1203069.369956278,887444.7917219686,-34.47188668,Sign Face,WEST 522,M1-4,2.047870504806439,3.040498030384382,,-112.9329303
95,1195789.210401427,866135.2815101002,175.1870390409234,Sign Face,2-5 AM,R7-2a,1.230977966537078,2.043698774675529,,42.454277950613765
96,1195786.736960672,866125.6600818776,177.5677908478183,Sign Face,35,R2-1,2.670024811079105,3.155502498497566,,12.867034689297403
97,1195789.248848693,866135.1661683033,174.4008725573622,Sign Face,,M6-1,1.031627814819416,0.5484114034225543,,-142.2171599
98,1179537.872,903517.0836943451,208.4492052994175,Sign Face,35,R2-1,2.212407154987256,2.646334945460161,,-57.40387327
99,1179537.942102274,903516.8257772715,206.0797423706455,Sign Face,35,R2-1,2.624912906885148,2.688310767710209,,122.83278707705857
100,1195756.607120177,866612.9711638275,155.1028107446435,Sign Face,USE CROSSWALK,R9-3b,1.769255525072416,1.159964493364096,,-92.26426935
101,1210305.011582457,889168.3689230743,-31.15538029,Sign Face,"City Hall Library Post Office
Air Harbor Bastyr University",D1-2,2.820043809115887,4.885344531039397,,-77.83818232
102,1196212.51,868008.5684587493,96.03435670475193,Sign Face,No Parking,R8-3,0.9850583570450545,1.105282034426928,,35.09270601844323
103,1195815.604449279,867255.0324899179,135.2979133472843,Sign Face,JOHN BUYS HOUSES FOR FAST CASH 253-777,D1-1,1.375634806131323,1.653840200304985,,-123.7222974
104,1202493.860846984,887152.3547108856,-37.28987366,Sign Face,,R7-8,0.7568713872383039,0.3269839397879939,,-2.73E-07
105,1196915.963589497,871189.7112362558,103.3213901100559,Sign Face,30,R2-1,1.037322902083397,1.747353991,,10.042091807297846
106,1197263.253,872193.6831,104.0315381393833,Sign Face,20 372 302,I-2,1.283919614,2.720312022914489,,27.053839899625306
107,1193666.7,863418.0770809824,281.3265729993585,Sign Face,25,R2-1,2.200190378328165,2.900230277975401,,94.67867749180643
108,1194308.926596089,863971.5575090423,291.2262432823582,Sign Face,Lake City Wy NE,D3-1,4.245630356,1.138829428677758,,132.60283070115912
109,1196669.856234354,868976.0137997324,82.72466927468804,Sign Face,,R9-3a,2.268330592662096,2.181694984535377,,-79.61661669
110,1190431.016839416,896693.0144397877,242.0467839012547,Sign Face,1ST AVE. N.E.,D3-1,5.043383349279563,1.166645753930013,,94.74938078397957
111,1190448.776272196,896698.7086400237,231.6298276863498,Sign Face,,W1-7,4.181366195877394,2.193026884,,174.37157255817837
112,1199341.883524393,878500.2721654144,173.6958558362725,Sign Face,Erickson Pl NE,D3-1,9.751420843203864,1.845607592562835,,2.3142207126565286
113,1177590.379842345,906824.2726282643,-31.6457862,Sign Face,"CROSSWALK
STOP
ON RED",R10-6,1.920986197690169,2.426466600696246,,-178.5981696
114,1209019.583,889258.2211840708,-27.22024326,Sign Face,50 FEET AHEAD,D1-1,3.056223026,2.327317366600037,,168.7224091277924
115,1209019.542474995,889258.2604323211,-25.52558218,Sign Face,BIKE ROUTE,D11-1,2.877430373628934,3.975353165566922,,-8.815866468
116,1197097.362594624,871794.6869707123,103.6623718001448,Sign Face,AHEAD,M3-1,2.489849012841781,1.173958259274562,,-161.6186952
117,1222551.444387201,888992.2578,-33.63730481,Sign Face,,R7-201aP,1.097315991272529,1.311805555596948,,38.464307357905845
118,1194359.363000711,864024.5282292572,302.4792272784316,Sign Face,NE 82nd St,D3-1,7.881037088632585,1.581710315595071,,-132.3870214
119,1197370.189197407,872649.4690076589,102.7125916761163,Sign Face,"NO PARKING
7-9 AM
TOW AWAY ZONE
EXCEPT SAT/SUN/HOL
2 HOUR
9AM-6PM
EXCEPT SUN/HOL",R7-200aP,0.9948066693792742,1.644021488924821,,-156.5387255
120,1181716.018147195,901623.0608537688,247.2673518715305,Sign Face,"2 HR PARKING
FOR
CUSTOMERS WHILE
SHOPPING",R7-23,1.113878540148338,1.725527353237073,,-2.563361114
121,1184959.624915587,899091.2395276783,313.2332728983962,Sign Face,EXIT,E5-1,1.186577679365874,1.663030209094286,,65.47317792
122,1179975.488,903274.6961,213.8868651543064,Sign Face,"639
641
643
645
647",D1-1,1.210122835834821,1.672462899039189,,49.50122718695291
123,1206608.469592508,889191.4175081395,-8.784955785,Sign Face,"RIGHT LANE
TRANSIT ONLY
EXCEPT RIGHT TURNS",R3-11aP,3.057193750788768,4.051295354167621,,95.81818886469514
124,1220950.284481322,889247.5236,-22.42724664,Sign Face,CITY PARK →,D1-1,3.363425494035086,1.572337073733409,,-69.8724888
125,1199260.900767231,879711.8280066823,168.2637027511997,Sign Face,"1 HOUR
7AM-6PM",R7-108,1.028823781708876,1.513314415837328,,178.39759874875392
126,1177616.962922586,907347.0048556406,-51.81554191,Sign Face,FERRY ONLY,R3-5b,1.351887643511097,2.764031003763279,,4.873942056987544
127,1195815.601,867254.9748190196,132.5010499884688,Sign Face,"PAINT
EXTERIOR
206-418",D1-1,0.9093049747745197,1.094473825345437,,-125.1891523
128,1198622.820335103,875394.1047598154,129.2541584,Sign Face,20 372 322 522,D11-4,1.216068133041263,2.777891207039357,,21.047640517837504
129,1208252.679722716,889367.1242654306,10.04608032087512,Sign Face,LES SCHWAB,D1-1,12.07069785654545,2.543891818225384,,86.40668402824295
130,1211487.886564554,888749.8608499606,-18.49822817,Sign Face,ONLY ONLY,R3-8,3.434874268,3.360162889361382,,-164.0463704
131,1194428.808374246,864086.7551286712,289.1829813728733,Sign Face,USE CROSSWALK,R9-3c,2.082275887429714,2.845809859931469,,-50.78592583
132,1192131.27,861634.2985706471,196.6036428,Sign Face,,W1-2,5.224248667061329,5.419294308225314,,-126.1214036
133,1182273.814280822,901519.0257569264,256.7368683395786,Sign Face,,R7-8,1.109689796914657,1.562027329007785,,84.66609504580816
134,1199356.107410705,879592.3875710947,161.9002172209822,Sign Face,"mobile electrical
CUSTOMER PARKING ONLY",R7-107,1.813406482289235,1.654757343431314,,89.20906993247861
135,1199532.221518778,891136.2964192596,56.45912940601536,Sign Face,331,D11-1,1.302794282163183,1.937216502179702,,-51.74652279
136,1219616.809557311,888934.2762883774,-14.80323881,Sign Face,,D3-1,1.188798867041866,2.545413415382306,,-134.2166874
137,1177667.316,908413.7146285898,-57.29940544,Sign Face,,M6-1G,0.5890543370693923,1.093333165248235,,84.83688227614331
138,1220322.795670134,889147.0143705892,-25.96562236,Sign Face,522,M1-5,1.867155371656021,2.598212699840467,,174.78066667377908
139,1186125.461351134,897828.8940475351,334.3089575539036,Sign Face,,W2-1,1.487601848741373,3.968297225634257,,-38.62920794
140,1177781.475568257,909757.1293722421,-59.65716023,Sign Face,"SCENIC
VIEW
STATE
BEACH
ENTRANCE
1/4 MILE
STATE PARK",D1-1,0.8897973991433781,1.352979904264212,,116.56353710718996
141,1182002.693775451,901591.2681690358,254.7919273020827,Sign Face,35,R2-1,2.138566964566708,2.709794014344613,,-84.95434742
142,1181904.774997781,901605.6602621347,253.9951978327834,Sign Face,"ADOPT A HIGHWAY LITTER CONTROL
EDMONDS DAYBREAKERS ROTARY CLUB",MTS-1,5.099179677565894,3.340134360790253,,97.78563658394994
143,1190449.048606994,896698.6581779877,229.5091455994053,Sign Face,DO NOT BLOCK DRIVEWAYS,R7-107,1.864507976422707,2.038546346724034,,84.40659433243435
144,1217273.751,886856.4629526662,-1.628180953,Sign Face,STOP,R1-1,2.206998748282592,2.482351318895817,,99.60967291628707
145,1199264.575685037,879829.2707864267,165.5709799188378,Sign Face,No Parking,R8-3,1.650788010557493,1.159807366604606,,2.423381612509491
146,1177678.632336649,908529.0388038014,-60.26669394,Sign Face,"EDMONDS FERRY TERMINAL
WEIGHT LIMIT REDUCED
SINGLE UNIT VEHICLES
4 AXLES 23T
5 AXLES 25T
6 AXLES 27T
7 AXLES 30T",R12-1a,1.751013958950838,3.473904672364394,,5.853861642550047
147,1199352.193799458,880417.6597297047,163.1549472389621,Sign Face,"PUSH BUTTON
WAIT FOR WALK
SIGNAL",R10-3e,0.7573511762917042,1.791803557276726,,131.3560055319427
148,1196504.622702453,868563.4281824635,92.21096887528924,Sign Face,ONLY,R3-8L,2.568786485294501,3.096823524832726,,30.99453013383236
149,1198512.058568745,875349.9368614593,125.3364796346429,Sign Face,NOTICE THIS AREA IS UNDER 24 HOUR VIDEO SURVEILLANCE TRESPASSERS WILL BE PROSECUTED,FDC,1.520793532257279,1.079186868071556,,-66.50520724
150,1192079.658016987,861542.3567408131,190.1903585586948,Sign Face,,W4-3,4.591186028619608,4.466206211249034,,51.01400668004894
151,1209945.813197448,889190.3565037806,-20.25179879,Sign Face,ONLY,R3-8L,3.439687607,3.075041668911775,,-80.57641482
152,1191983.994812235,860645.4044613536,134.7947072,Sign Face,"14'-11""",W12-2,5.071800315280756,4.586326538920403,,8.508884480001132
153,1193786.201,863369.9523182057,278.6219730657342,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.3953797662133972,0.7343382170548043,,-146.4970632
154,1196751.974787821,868974.1250778086,83.63802962561476,Sign Face,,R9-3,0.3883555058514079,2.013371843447288,,-152.083238
155,1198279.004060281,874678.0941232188,128.1017917054894,Sign Face,STOP ON RED THEN LEFT TURN PERMITTED,R10-12,2.465622941156229,3.026186686555545,,16.644978132356975
156,1197091.348801492,893801.0535716644,164.5762695592645,Sign Face,NE 95TH ST,D3-1,1.530992105156183,0.3577836201650401,,58.093891894086916
157,1199675.92,891012.5735189707,50.42373471836277,Sign Face,EXIT,M6-3,0.5180035132914782,0.7116687953844667,,-152.7337248
158,1199132.997928283,877108.691,160.8536556174361,Sign Face,,D1-1,7.990950336853664,7.990873680114747,,9.361517480266574
159,1199341.431769022,879650.9131202077,163.7247853,Sign Face,30,R2-1,1.051028423011303,1.767300778230032,,19.36291651014555
160,1199553.125617492,881622.9550745534,147.3722571,Sign Face,YIELD,R1-2,1.514152066707611,1.487268627,,-21.86345438
161,1201235.166255106,885676.7771,14.05243057747709,Sign Face,"SHERIDAN
HEIGHTS",D3-1,3.328062097728253,1.791145717302958,,25.879878903181176
162,1192198.620264709,861538.5536654551,194.1778856748345,Sign Face,No Parking,R7-302,0.4080612499080599,1.262929844632745,,-130.9754014
163,1191991.677857482,860383.7900424082,135.1646995792789,Sign Face,EXIT 35 MPH,W13-2,3.897019364933173,4.781951407790185,,-178.6053217
164,1191826.370634988,861707.9106665944,180.6001687393589,Sign Face,,W1-8L,3.054221346626679,4.027496174474558,,72.72905942569975
165,1192255.265902729,861819.2988029877,212.0580168368422,Sign Face,YIELD,R1-2,2.960155119200548,3.041783595184485,,-110.9546765
166,1195377.29,865038.1215,239.1201610209547,Sign Face,,R9-3a,2.262586421618859,2.175321524,,-46.41088062
167,1193730.564379292,863416.4879273366,285.6087373314305,Sign Face,NE 80th St,D3-1,2.880451666017374,0.898070656,,-173.0472742
168,1201853.170806701,889578.5874,28.13549689551222,Sign Face,DEAD END,W14-1,2.771358566681544,0.7693154941499234,,-33.10036639
169,1199938.769313374,890979.8947449126,64.89898004154392,Sign Face,,W1-1,3.164887669086457,3.839443505207698,,-59.55977966
170,1181269.863261128,901719.7741494639,239.3702684936924,Sign Face,THANK YOU FOR BEING OUR GUEST,unknown,0.9609413061042628,2.417054444,,-142.9677383
171,1177957.656959045,909502.5988619883,-51.21752548,Sign Face,,D3-1,0.1783957045835753,0.5091283935680986,,-144.5664435
172,1177609.122884338,906761.7878117767,-39.92866535,Sign Face,35,R2-1,2.343389468789101,2.925022084216277,,177.18022584277503
173,1179830.448899149,903451.5936,215.0776791,Sign Face,25,R2-1,1.671198649505774,2.269267096,,-28.92965931
174,1200656.711124083,890509.1372132761,37.17257549067366,Sign Face,,D1-1,0.5626715612784029,0.7036813391869268,,-135.6502119
175,1196757.064244608,868963.2396957285,83.66700274407893,Sign Face,Lake City Wy NE,D3-1,2.381292706231276,1.264998207713167,,-96.65826353
176,1182278.341446349,901694.2147276702,257.7887364667657,Sign Face,,R7-8,0.7733826034764449,1.190233345379432,,99.34973913032351
177,1180356.237684142,902820.9767265716,216.0726022173964,Sign Face,"725 719
→",D1-1,1.140094558199247,1.068170590698719,,156.9576986442994
178,1182750.864748758,901785.4388752126,264.7927969958388,Sign Face,NO STANDING ANY TIME,R7-14,0.8618123117337625,1.500477052032948,,-117.8574296
179,1188616.408427957,896809.5200674327,276.9479651031895,Sign Face,ONLY,R3-5L,0.5020552938679854,1.900178586343924,,56.16127382
180,1189217.496182677,896785.9703162526,255.1344984461867,Sign Face,NO TRUCKS ON 76 AVE W,R5-2a,3.930340797801813,2.051738736828169,,97.41774758007824
181,1198397.570621561,892419.7366324757,126.0374413706862,Sign Face,STOP,R1-1,2.526224590986967,2.399979937424263,,107.62819822660974
182,1195088.182183654,895953.6382784921,253.3324080238743,Sign Face,,R2-1,0.9081094620873532,1.017527961457769,,43.78378693
183,1195261.496049214,895538.1595,239.0390863507989,Sign Face,BRIDGE ICES BEFORE ROAD,W8-13,0.8123234935229025,1.463004030982654,,-53.8350443
184,1197012.463022277,893873.7237096039,158.7052894967797,Sign Face,Push Button Wait For Walk Signal,R10-3e,0.5039123620341222,2.113033230602742,,159.881578
185,1196937.973047098,893942.0056528614,159.5459229399764,Sign Face,,OM-2,0.2528076916995148,0.9926597918073338,,175.9029987
186,1199355.910368468,880850.4189476409,160.9909368858738,Sign Face,,R3-5,1.558000308,2.106495701422294,,-47.47996864
187,1210828.294887308,889028.3985487508,-31.09694273,Sign Face,"WEIGHT LIMIT
16T
25T
27T",R12-1a,2.565434904,3.163470301628113,,-76.45370365
188,1192983.319344298,896504.4346068206,245.2860911840203,Sign Face,SPEED HUMP 20 MPH,R2-1a,1.205296199023724,1.454286869118611,,115.65683929861747
189,1178849.137,904706.3729619231,119.5312303791446,Sign Face,35,R2-1,2.141098201374213,2.639355271160603,,172.7963126453571
190,1188294.204322326,896885.8587153004,288.6399888382359,Sign Face,Kingston,I-9,4.533179952502251,5.198243259489537,,-55.89266226
